customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
CUST-1138,111,4,494.09000000000003,3,4,4,344,Loyal Customers
CUST-1139,84,2,81.86,3,2,1,321,New Customers
CUST-1140,119,1,46.23,3,1,1,311,New Customers
CUST-1141,102,1,63.54,3,1,1,311,New Customers
CUST-1142,193,2,206.42000000000002,2,2,2,222,Lost Customers
CUST-1143,316,2,291.12,1,2,3,123,Lost Customers
CUST-1144,49,2,246.71,4,2,3,423,Potential Loyalists
CUST-1146,79,3,214.1,3,3,2,332,Loyal Customers
CUST-1147,34,5,776.96,4,5,5,455,Champions
CUST-1148,51,5,424.49,4,5,4,454,Champions
CUST-1149,33,3,207.01,4,3,2,432,Loyal Customers
CUST-1150,101,5,871.63,3,5,5,355,Loyal Customers
CUST-1151,12,6,758.39,5,5,5,555,Champions
CUST-1152,16,4,345.27,5,4,3,543,Champions
CUST-1153,238,1,38.3,1,1,1,111,Lost Customers
CUST-1154,151,1,73.76,2,1,1,211,Lost Customers
CUST-1155,66,3,195.89999999999998,4,3,2,432,Loyal Customers
CUST-1156,45,7,677.4300000000001,4,5,5,455,Champions
CUST-1157,8,3,208.47,5,3,2,532,Loyal Customers
CUST-1158,29,2,347.16,5,2,3,523,Potential Loyalists
CUST-1159,157,4,562.79,2,4,4,244,At Risk
CUST-1160,224,1,93.49,1,1,1,111,Lost Customers
CUST-1161,10,3,842.28,5,3,5,535,Loyal Customers
CUST-1162,161,1,697.32,2,1,5,215,Lost Customers
CUST-1163,350,1,72.66,1,1,1,111,Lost Customers
CUST-1164,126,4,641.34,2,4,5,245,At Risk
CUST-1165,15,7,489.9,5,5,4,554,Champions
CUST-1166,82,3,766.0600000000001,3,3,5,335,Loyal Customers
CUST-1167,35,3,211.19,4,3,2,432,Loyal Customers
CUST-1168,145,2,471.28,2,2,4,224,Lost Customers
CUST-1169,152,6,579.65,2,5,5,255,At Risk
CUST-1170,119,3,287.65,3,3,3,333,Loyal Customers
CUST-1171,78,6,747.04,3,5,5,355,Loyal Customers
CUST-1172,254,1,559.0,1,1,4,114,Lost Customers
CUST-1173,20,7,663.47,5,5,5,555,Champions
CUST-1174,37,3,184.94,4,3,2,432,Loyal Customers
CUST-1175,83,6,1544.21,3,5,5,355,Loyal Customers
CUST-1176,143,1,128.31,2,1,2,212,Lost Customers
CUST-1177,11,3,758.64,5,3,5,535,Loyal Customers
CUST-1178,6,4,511.21000000000004,5,4,4,544,Champions
CUST-1179,110,2,98.37,3,2,1,321,New Customers
CUST-1180,33,7,632.12,4,5,5,455,Champions
CUST-1181,174,1,87.9,2,1,1,211,Lost Customers
CUST-1182,101,3,287.65999999999997,3,3,3,333,Loyal Customers
CUST-1183,298,2,155.51999999999998,1,2,2,122,Lost Customers
CUST-1184,277,2,143.95,1,2,2,122,Lost Customers
CUST-1185,144,4,332.40999999999997,2,4,3,243,At Risk
CUST-1186,117,6,392.98,3,5,4,354,Loyal Customers
CUST-1187,75,5,770.0699999999999,3,5,5,355,Loyal Customers
CUST-1188,13,6,520.4,5,5,4,554,Champions
CUST-1190,64,2,373.28,4,2,4,424,Potential Loyalists
CUST-1191,179,2,340.65999999999997,2,2,3,223,Lost Customers
CUST-1192,73,6,847.8199999999999,3,5,5,355,Loyal Customers
CUST-1193,294,1,68.38,1,1,1,111,Lost Customers
CUST-1194,5,3,727.18,5,3,5,535,Loyal Customers
CUST-1195,185,2,263.77,2,2,3,223,Lost Customers
CUST-1196,22,3,561.09,5,3,4,534,Loyal Customers
CUST-1197,55,2,92.89,4,2,1,421,Potential Loyalists
CUST-1198,85,4,655.25,3,4,5,345,Loyal Customers
CUST-1199,54,7,656.4100000000001,4,5,5,455,Champions
CUST-1200,223,2,394.14,1,2,4,124,Lost Customers
CUST-1201,53,2,262.84999999999997,4,2,3,423,Potential Loyalists
CUST-1202,207,4,360.04,1,4,4,144,At Risk
CUST-1203,101,5,586.46,3,5,5,355,Loyal Customers
CUST-1204,48,2,275.4,4,2,3,423,Potential Loyalists
CUST-1205,16,7,1198.52,5,5,5,555,Champions
CUST-1206,38,3,87.99,4,3,1,431,Loyal Customers
CUST-1207,138,7,624.01,2,5,5,255,At Risk
CUST-1208,70,2,560.8199999999999,3,2,4,324,New Customers
CUST-1209,96,5,409.5,3,5,4,354,Loyal Customers
CUST-1210,164,1,266.13,2,1,3,213,Lost Customers
CUST-1211,153,6,607.07,2,5,5,255,At Risk
CUST-1212,20,6,368.18,5,5,4,554,Champions
CUST-1213,98,4,478.78000000000003,3,4,4,344,Loyal Customers
CUST-1214,64,6,341.56,4,5,3,453,Champions
CUST-1215,194,2,119.47999999999999,2,2,2,222,Lost Customers
CUST-1216,52,5,1193.8,4,5,5,455,Champions
CUST-1217,169,6,485.70000000000005,2,5,4,254,At Risk
CUST-1218,54,5,1075.27,4,5,5,455,Champions
CUST-1219,162,3,365.88,2,3,4,234,At Risk
CUST-1220,165,4,670.97,2,4,5,245,At Risk
CUST-1221,202,1,97.56,1,1,1,111,Lost Customers
CUST-1222,122,1,425.49,2,1,4,214,Lost Customers
CUST-1223,32,5,422.78000000000003,4,5,4,454,Champions
CUST-1224,67,2,253.86,4,2,3,423,Potential Loyalists
CUST-1225,108,4,820.78,3,4,5,345,Loyal Customers
CUST-1226,294,2,346.89,1,2,3,123,Lost Customers
CUST-1227,232,4,411.84000000000003,1,4,4,144,At Risk
CUST-1228,16,2,107.82000000000001,5,2,1,521,Potential Loyalists
CUST-1229,20,1,374.2,5,1,4,514,Potential Loyalists
CUST-1230,42,4,230.37,4,4,3,443,Champions
CUST-1231,104,4,372.67,3,4,4,344,Loyal Customers
CUST-1232,222,4,653.06,1,4,5,145,At Risk
CUST-1233,10,6,575.23,5,5,5,555,Champions
CUST-1234,116,3,399.34000000000003,3,3,4,334,Loyal Customers
CUST-1235,16,4,846.97,5,4,5,545,Champions
CUST-1236,9,6,1561.34,5,5,5,555,Champions
CUST-1237,7,6,406.52,5,5,4,554,Champions
CUST-1238,33,6,593.4,4,5,5,455,Champions
CUST-1239,83,6,1159.6000000000001,3,5,5,355,Loyal Customers
CUST-1240,34,4,378.65999999999997,4,4,4,444,Champions
CUST-1241,175,2,99.77000000000001,2,2,1,221,Lost Customers
CUST-1242,107,3,229.8,3,3,3,333,Loyal Customers
CUST-1243,28,4,626.29,5,4,5,545,Champions
CUST-1244,204,5,770.24,1,5,5,155,At Risk
CUST-1245,45,3,1028.17,4,3,5,435,Loyal Customers
CUST-1246,15,3,419.27,5,3,4,534,Loyal Customers
CUST-1247,49,4,312.53,4,4,3,443,Champions
CUST-1248,52,4,389.90999999999997,4,4,4,444,Champions
CUST-1249,218,2,317.45000000000005,1,2,3,123,Lost Customers
CUST-1250,137,1,32.33,2,1,1,211,Lost Customers
CUST-1251,40,5,1096.24,4,5,5,455,Champions
CUST-1252,58,1,304.95,4,1,3,413,Potential Loyalists
CUST-1253,7,3,923.25,5,3,5,535,Loyal Customers
CUST-1254,129,4,580.0200000000001,2,4,5,245,At Risk
CUST-1255,52,3,324.61,4,3,3,433,Loyal Customers
CUST-1256,73,2,212.24,3,2,2,322,New Customers
CUST-1257,60,4,909.1999999999999,4,4,5,445,Champions
CUST-1258,252,1,317.52,1,1,3,113,Lost Customers
CUST-1259,120,5,631.7,2,5,5,255,At Risk
CUST-1260,17,4,455.71999999999997,5,4,4,544,Champions
CUST-1261,28,5,1342.25,5,5,5,555,Champions
CUST-1262,124,3,430.88,2,3,4,234,At Risk
CUST-1263,2,3,410.49,5,3,4,534,Loyal Customers
CUST-1264,218,2,155.04,1,2,2,122,Lost Customers
CUST-1265,65,5,427.8,4,5,4,454,Champions
CUST-1266,320,1,20.63,1,1,1,111,Lost Customers
CUST-1267,224,3,134.7,1,3,2,132,At Risk
CUST-1268,163,4,324.24,2,4,3,243,At Risk
CUST-1269,75,2,691.75,3,2,5,325,New Customers
CUST-1270,63,3,424.53999999999996,4,3,4,434,Loyal Customers
CUST-1271,19,2,100.78,5,2,1,521,Potential Loyalists
CUST-1272,18,3,482.78999999999996,5,3,4,534,Loyal Customers
CUST-1273,71,3,607.56,3,3,5,335,Loyal Customers
CUST-1274,193,4,1161.87,2,4,5,245,At Risk
CUST-1275,12,5,644.45,5,5,5,555,Champions
CUST-1276,34,5,630.9100000000001,4,5,5,455,Champions
CUST-1277,92,3,366.38,3,3,4,334,Loyal Customers
CUST-1278,75,1,169.85,3,1,2,312,New Customers
CUST-1279,113,3,1155.28,3,3,5,335,Loyal Customers
CUST-1280,176,1,83.16,2,1,1,211,Lost Customers
CUST-1281,106,1,52.3,3,1,1,311,New Customers
CUST-1282,161,1,135.34,2,1,2,212,Lost Customers
CUST-1283,55,4,300.87,4,4,3,443,Champions
CUST-1284,21,4,356.33,5,4,3,543,Champions
CUST-1285,25,5,1215.88,5,5,5,555,Champions
CUST-1286,162,3,254.11,2,3,3,233,At Risk
CUST-1287,18,1,101.15,5,1,1,511,Potential Loyalists
CUST-1288,50,2,152.1,4,2,2,422,Potential Loyalists
CUST-1289,70,3,371.03999999999996,3,3,4,334,Loyal Customers
CUST-1290,50,2,222.90000000000003,4,2,3,423,Potential Loyalists
CUST-1291,221,2,202.85,1,2,2,122,Lost Customers
CUST-1292,139,5,403.81,2,5,4,254,At Risk
CUST-1293,96,2,187.46,3,2,2,322,New Customers
CUST-1294,116,3,292.9,3,3,3,333,Loyal Customers
CUST-1296,189,1,566.07,2,1,4,214,Lost Customers
CUST-1297,51,4,839.6899999999999,4,4,5,445,Champions
CUST-1298,125,8,1229.54,2,5,5,255,At Risk
CUST-1299,234,2,90.42,1,2,1,121,Lost Customers
CUST-1300,72,3,345.32,3,3,3,333,Loyal Customers
CUST-1302,114,6,1204.48,3,5,5,355,Loyal Customers
CUST-1303,200,1,76.63,1,1,1,111,Lost Customers
CUST-1304,82,3,369.65,3,3,4,334,Loyal Customers
CUST-1305,57,3,212.99,4,3,2,432,Loyal Customers
CUST-1306,59,2,472.29999999999995,4,2,4,424,Potential Loyalists
CUST-1307,68,2,245.29000000000002,4,2,3,423,Potential Loyalists
CUST-1308,119,7,878.81,3,5,5,355,Loyal Customers
CUST-1309,14,3,366.87,5,3,4,534,Loyal Customers
CUST-1310,242,2,134.38,1,2,2,122,Lost Customers
CUST-1311,13,3,279.16,5,3,3,533,Loyal Customers
CUST-1312,10,1,15.64,5,1,1,511,Potential Loyalists
CUST-1313,3,2,87.16,5,2,1,521,Potential Loyalists
CUST-1314,24,6,765.95,5,5,5,555,Champions
CUST-1315,266,3,331.34,1,3,3,133,At Risk
CUST-1316,136,4,547.48,2,4,4,244,At Risk
CUST-1317,41,6,232.35999999999999,4,5,3,453,Champions
CUST-1318,49,7,578.72,4,5,5,455,Champions
CUST-1319,88,5,375.82000000000005,3,5,4,354,Loyal Customers
CUST-1320,12,5,1095.3600000000001,5,5,5,555,Champions
CUST-1321,180,1,45.9,2,1,1,211,Lost Customers
CUST-1322,103,4,1279.89,3,4,5,345,Loyal Customers
CUST-1323,107,5,660.8599999999999,3,5,5,355,Loyal Customers
CUST-1324,221,2,140.91,1,2,2,122,Lost Customers
CUST-1325,27,5,315.86,5,5,3,553,Champions
CUST-1326,257,1,150.0,1,1,2,112,Lost Customers
CUST-1327,335,1,55.96,1,1,1,111,Lost Customers
CUST-1328,28,5,921.6,5,5,5,555,Champions
CUST-1329,92,4,372.45,3,4,4,344,Loyal Customers
CUST-1330,126,4,777.1500000000001,2,4,5,245,At Risk
CUST-1331,319,2,767.88,1,2,5,125,Lost Customers
CUST-1332,192,5,626.99,2,5,5,255,At Risk
CUST-1333,9,4,1043.94,5,4,5,545,Champions
CUST-1334,117,2,395.38,3,2,4,324,New Customers
CUST-1335,76,3,682.95,3,3,5,335,Loyal Customers
CUST-1336,22,6,520.87,5,5,4,554,Champions
CUST-1337,171,2,143.86,2,2,2,222,Lost Customers
CUST-1338,324,1,19.1,1,1,1,111,Lost Customers
CUST-1339,114,3,219.72,3,3,3,333,Loyal Customers
CUST-1340,183,2,273.32,2,2,3,223,Lost Customers
CUST-1341,147,6,1151.67,2,5,5,255,At Risk
CUST-1342,9,9,1793.75,5,5,5,555,Champions
CUST-1343,20,5,525.21,5,5,4,554,Champions
CUST-1344,86,2,137.34,3,2,2,322,New Customers
CUST-1345,190,3,249.45,2,3,3,233,At Risk
CUST-1346,34,4,694.3399999999999,4,4,5,445,Champions
CUST-1347,28,6,1103.83,5,5,5,555,Champions
CUST-1348,91,6,944.67,3,5,5,355,Loyal Customers
CUST-1349,19,3,202.49,5,3,2,532,Loyal Customers
CUST-1350,209,1,67.14,1,1,1,111,Lost Customers
CUST-1351,132,2,112.69999999999999,2,2,2,222,Lost Customers
CUST-1352,59,4,752.19,4,4,5,445,Champions
CUST-1353,156,2,174.23,2,2,2,222,Lost Customers
CUST-1354,131,3,451.63,2,3,4,234,At Risk
CUST-1355,243,1,82.2,1,1,1,111,Lost Customers
CUST-1356,4,3,126.13,5,3,2,532,Loyal Customers
CUST-1357,205,3,270.13,1,3,3,133,At Risk
CUST-1358,96,4,882.6200000000001,3,4,5,345,Loyal Customers
CUST-1359,217,1,164.56,1,1,2,112,Lost Customers
CUST-1360,93,2,54.230000000000004,3,2,1,321,New Customers
CUST-1361,111,3,419.23,3,3,4,334,Loyal Customers
CUST-1362,102,1,138.06,3,1,2,312,New Customers
CUST-1363,42,3,774.8100000000001,4,3,5,435,Loyal Customers
CUST-1364,70,2,190.07999999999998,3,2,2,322,New Customers
CUST-1365,161,3,82.28,2,3,1,231,At Risk
CUST-1366,148,4,848.44,2,4,5,245,At Risk
CUST-1367,183,2,376.22,2,2,4,224,Lost Customers
CUST-1368,8,4,593.3000000000001,5,4,5,545,Champions
CUST-1369,225,1,32.55,1,1,1,111,Lost Customers
CUST-1370,13,5,631.71,5,5,5,555,Champions
CUST-1371,147,3,421.78999999999996,2,3,4,234,At Risk
CUST-1372,15,4,647.99,5,4,5,545,Champions
CUST-1373,156,3,183.86,2,3,2,232,At Risk
CUST-1374,142,4,499.44,2,4,4,244,At Risk
CUST-1375,43,4,361.28999999999996,4,4,4,444,Champions
CUST-1376,88,3,103.23,3,3,1,331,Loyal Customers
CUST-1377,38,5,415.77,4,5,4,454,Champions
CUST-1378,71,5,713.85,3,5,5,355,Loyal Customers
CUST-1379,143,5,709.17,2,5,5,255,At Risk
CUST-1380,26,8,482.44,5,5,4,554,Champions
CUST-1381,154,8,1407.1499999999999,2,5,5,255,At Risk
CUST-1382,12,3,172.72,5,3,2,532,Loyal Customers
CUST-1383,108,4,481.84000000000003,3,4,4,344,Loyal Customers
CUST-1384,137,2,93.39999999999999,2,2,1,221,Lost Customers
CUST-1385,46,4,426.53999999999996,4,4,4,444,Champions
CUST-1386,19,4,472.95,5,4,4,544,Champions
CUST-1387,171,1,43.52,2,1,1,211,Lost Customers
CUST-1388,58,6,944.6899999999999,4,5,5,455,Champions
CUST-1389,111,2,462.06,3,2,4,324,New Customers
CUST-1390,52,2,133.23,4,2,2,422,Potential Loyalists
CUST-1391,1,3,196.74,5,3,2,532,Loyal Customers
CUST-1392,8,5,540.55,5,5,4,554,Champions
CUST-1393,166,2,185.25,2,2,2,222,Lost Customers
CUST-1394,67,2,275.3,4,2,3,423,Potential Loyalists
CUST-1395,282,2,408.71000000000004,1,2,4,124,Lost Customers
CUST-1396,33,2,143.19,4,2,2,422,Potential Loyalists
CUST-1397,44,2,165.77,4,2,2,422,Potential Loyalists
CUST-1398,171,6,724.79,2,5,5,255,At Risk
CUST-1399,109,6,644.6899999999999,3,5,5,355,Loyal Customers
CUST-1400,32,5,570.48,4,5,4,454,Champions
CUST-1401,12,2,249.32,5,2,3,523,Potential Loyalists
CUST-1402,117,2,176.18,3,2,2,322,New Customers
CUST-1403,131,2,165.95999999999998,2,2,2,222,Lost Customers
CUST-1404,1,3,296.92,5,3,3,533,Loyal Customers
CUST-1405,20,5,538.17,5,5,4,554,Champions
CUST-1406,37,3,352.04,4,3,3,433,Loyal Customers
CUST-1407,3,3,214.73,5,3,2,532,Loyal Customers
CUST-1408,57,3,491.46000000000004,4,3,4,434,Loyal Customers
CUST-1409,2,4,476.08,5,4,4,544,Champions
CUST-1410,40,5,428.66999999999996,4,5,4,454,Champions
CUST-1411,13,3,288.65999999999997,5,3,3,533,Loyal Customers
CUST-1412,323,2,105.96000000000001,1,2,1,121,Lost Customers
CUST-1413,3,7,1004.1099999999999,5,5,5,555,Champions
CUST-1414,37,2,385.86,4,2,4,424,Potential Loyalists
CUST-1415,98,3,122.8,3,3,2,332,Loyal Customers
CUST-1416,41,4,393.83,4,4,4,444,Champions
CUST-1417,112,3,219.42000000000002,3,3,2,332,Loyal Customers
CUST-1418,25,5,383.53,5,5,4,554,Champions
CUST-1419,61,2,224.72,4,2,3,423,Potential Loyalists
CUST-1420,55,4,224.16,4,4,3,443,Champions
CUST-1421,115,3,154.26999999999998,3,3,2,332,Loyal Customers
CUST-1422,265,1,168.12,1,1,2,112,Lost Customers
CUST-1423,8,4,243.56,5,4,3,543,Champions
CUST-1424,99,1,170.12,3,1,2,312,New Customers
CUST-1425,253,1,72.05,1,1,1,111,Lost Customers
CUST-1426,25,2,357.83,5,2,3,523,Potential Loyalists
CUST-1427,114,4,459.26,3,4,4,344,Loyal Customers
CUST-1428,71,3,259.71,3,3,3,333,Loyal Customers
CUST-1429,6,7,1672.55,5,5,5,555,Champions
CUST-1430,42,5,888.6300000000001,4,5,5,455,Champions
CUST-1431,115,2,317.42,3,2,3,323,New Customers
CUST-1432,278,1,91.86,1,1,1,111,Lost Customers
CUST-1433,27,3,548.47,5,3,4,534,Loyal Customers
CUST-1434,26,5,570.5,5,5,4,554,Champions
CUST-1435,143,1,10.17,2,1,1,211,Lost Customers
CUST-1436,54,7,888.0100000000001,4,5,5,455,Champions
CUST-1437,14,4,847.82,5,4,5,545,Champions
CUST-1438,274,2,293.94,1,2,3,123,Lost Customers
CUST-1439,75,4,211.01999999999998,3,4,2,342,Loyal Customers
CUST-1440,47,5,309.48,4,5,3,453,Champions
CUST-1441,30,8,997.87,5,5,5,555,Champions
CUST-1442,27,7,1138.8600000000001,5,5,5,555,Champions
CUST-1443,245,3,194.74,1,3,2,132,At Risk
CUST-1444,157,3,110.36000000000001,2,3,1,231,At Risk
CUST-1445,186,4,631.58,2,4,5,245,At Risk
CUST-1446,77,3,361.53999999999996,3,3,4,334,Loyal Customers
CUST-1447,21,5,1499.22,5,5,5,555,Champions
CUST-1448,21,3,418.1,5,3,4,534,Loyal Customers
CUST-1449,60,2,237.25,4,2,3,423,Potential Loyalists
CUST-1450,314,2,117.32000000000001,1,2,2,122,Lost Customers
CUST-1451,8,7,498.06,5,5,4,554,Champions
CUST-1452,141,2,142.19,2,2,2,222,Lost Customers
CUST-1453,112,2,153.28,3,2,2,322,New Customers
CUST-1454,63,3,255.57999999999998,4,3,3,433,Loyal Customers
CUST-1455,94,3,301.85,3,3,3,333,Loyal Customers
CUST-1456,105,2,303.18,3,2,3,323,New Customers
CUST-1457,191,4,349.90999999999997,2,4,3,243,At Risk
CUST-1458,13,7,612.1800000000001,5,5,5,555,Champions
CUST-1460,3,6,998.3800000000001,5,5,5,555,Champions
CUST-1461,118,4,451.51,3,4,4,344,Loyal Customers
CUST-1462,264,3,260.84,1,3,3,133,At Risk
CUST-1463,238,5,613.16,1,5,5,155,At Risk
CUST-1464,15,2,217.41,5,2,2,522,Potential Loyalists
CUST-1465,90,3,721.8399999999999,3,3,5,335,Loyal Customers
CUST-1466,99,6,987.63,3,5,5,355,Loyal Customers
CUST-1467,37,4,582.87,4,4,5,445,Champions
CUST-1468,27,4,116.02,5,4,2,542,Champions
CUST-1469,6,3,161.93,5,3,2,532,Loyal Customers
