invoice_id,customer_id,transaction_date,product,category,quantity,unit_price,total_price,country
INV-19674,CUST-2641,2023-01-03,Biography,Books,1,45.76,45.76,Netherlands
INV-14287,CUST-4337,2023-01-03,Self-Help Book,Books,2,31.92,63.84,France
INV-16041,CUST-2765,2023-01-03,Biography,Books,1,21.96,21.96,Germany
INV-16858,CUST-4446,2023-01-03,Dumbbell Set,Sports,1,20.34,20.34,United States
INV-13946,CUST-2433,2023-01-03,Lamp,Home & Garden,1,75.29,75.29,United States
INV-11417,CUST-1099,2023-01-03,Webcam,Electronics,1,108.2,108.2,Sweden
INV-18843,CUST-1671,2023-01-03,Sweater,Clothing,3,63.1,189.3,Italy
INV-16009,CUST-1110,2023-01-03,Cookbook,Books,1,49.56,49.56,France
INV-11705,CUST-1324,2023-01-03,Candle,Home & Garden,2,43.87,87.74,Netherlands
INV-11732,CUST-2913,2023-01-03,USB Cable,Electronics,3,112.75,338.25,Netherlands
INV-14248,CUST-1762,2023-01-03,Yoga Mat,Sports,3,70.71,212.13,Australia
INV-18984,CUST-4654,2023-01-03,Jacket,Clothing,1,79.59,79.59,France
INV-17209,CUST-4732,2023-01-03,Textbook,Books,3,21.92,65.76,Germany
INV-15426,CUST-3134,2023-01-03,Fiction Novel,Books,2,42.9,85.8,United Kingdom
INV-12006,CUST-2955,2023-01-03,Phone Case,Electronics,2,48.04,96.08,Australia
INV-16349,CUST-2857,2023-01-03,Tennis Racket,Sports,2,59.02,118.04,Germany
INV-18247,CUST-4888,2023-01-03,Coffee Mug,Home & Garden,2,25.73,51.46,Spain
INV-14760,CUST-2672,2023-01-03,Dumbbell Set,Sports,3,50.54,151.62,United Kingdom
INV-10331,CUST-2975,2023-01-03,Biography,Books,1,38.69,38.69,Germany
INV-14768,CUST-1675,2023-01-03,Dumbbell Set,Sports,1,28.64,28.64,Spain
INV-19011,CUST-3120,2023-01-03,Shoes,Clothing,1,71.39,71.39,United States
INV-13065,CUST-1239,2023-01-03,Water Bottle,Sports,2,185.12,370.24,Canada
INV-10840,CUST-2230,2023-01-04,Keyboard,Electronics,2,95.43,190.86,Canada
INV-10213,CUST-1837,2023-01-04,Coffee Mug,Home & Garden,5,25.44,127.2,United States
INV-13801,CUST-1332,2023-01-04,Hat,Clothing,5,45.31,226.55,Italy
INV-18651,CUST-4693,2023-01-04,Wireless Mouse,Electronics,2,134.05,268.1,Germany
INV-15399,CUST-1823,2023-01-04,Dumbbell Set,Sports,4,128.79,515.16,Canada
INV-13879,CUST-1885,2023-01-04,Sweater,Clothing,2,68.62,137.24,Italy
INV-15374,CUST-2112,2023-01-04,Hat,Clothing,3,67.15,201.45,United States
INV-13958,CUST-1202,2023-01-04,Water Bottle,Sports,1,92.18,92.18,Germany
INV-13490,CUST-1549,2023-01-04,Phone Case,Electronics,1,103.07,103.07,Germany
INV-17715,CUST-3562,2023-01-04,Cushion,Home & Garden,2,41.8,83.6,Australia
INV-18821,CUST-2253,2023-01-04,Yoga Mat,Sports,4,159.82,639.28,France
INV-14209,CUST-1757,2023-01-04,Yoga Mat,Sports,3,70.88,212.64,Australia
INV-10385,CUST-1844,2023-01-04,Headphones,Electronics,3,19.57,58.71,United States
INV-15324,CUST-4961,2023-01-04,Picture Frame,Home & Garden,1,19.13,19.13,Netherlands
INV-18122,CUST-2259,2023-01-04,Football,Sports,2,17.52,35.04,Australia
INV-12829,CUST-4614,2023-01-04,Phone Case,Electronics,1,72.79,72.79,Germany
INV-10967,CUST-2183,2023-01-04,Self-Help Book,Books,1,24.21,24.21,Sweden
INV-13510,CUST-2862,2023-01-04,Shoes,Clothing,4,100.77,403.08,Italy
INV-18861,CUST-3964,2023-01-04,Jacket,Clothing,5,62.55,312.75,Canada
INV-13686,CUST-4325,2023-01-04,Jacket,Clothing,2,111.91,223.82,Germany
INV-19738,CUST-1138,2023-01-04,Plant Pot,Home & Garden,4,14.67,58.68,United Kingdom
INV-15489,CUST-3476,2023-01-04,Jeans,Clothing,2,34.94,69.88,United Kingdom
INV-16937,CUST-2264,2023-01-04,Water Bottle,Sports,2,41.0,82.0,Netherlands
INV-15443,CUST-2098,2023-01-04,Running Shoes,Sports,1,162.07,162.07,Italy
INV-17401,CUST-2777,2023-01-04,Candle,Home & Garden,2,13.4,26.8,Netherlands
INV-15563,CUST-1242,2023-01-04,Water Bottle,Sports,3,44.04,132.12,Italy
INV-10716,CUST-3055,2023-01-04,Candle,Home & Garden,1,44.08,44.08,Sweden
INV-11686,CUST-4848,2023-01-04,Self-Help Book,Books,2,46.32,92.64,Spain
INV-11317,CUST-3755,2023-01-05,Hat,Clothing,2,112.23,224.46,United States
INV-16955,CUST-2585,2023-01-05,USB Cable,Electronics,2,80.83,161.66,Italy
INV-13288,CUST-1558,2023-01-05,Shoes,Clothing,2,119.4,238.8,France
INV-14471,CUST-1886,2023-01-05,Football,Sports,2,32.56,65.12,United Kingdom
INV-15078,CUST-3642,2023-01-05,Running Shoes,Sports,1,88.25,88.25,Sweden
INV-17960,CUST-2223,2023-01-05,Jeans,Clothing,1,45.71,45.71,Spain
INV-11995,CUST-1650,2023-01-05,Yoga Mat,Sports,1,74.64,74.64,Australia
INV-16157,CUST-2763,2023-01-05,Coffee Mug,Home & Garden,1,13.26,13.26,Netherlands
INV-17895,CUST-2523,2023-01-05,Sweater,Clothing,4,119.95,479.8,Netherlands
INV-16330,CUST-4432,2023-01-05,Tennis Racket,Sports,1,72.24,72.24,Canada
INV-19708,CUST-4853,2023-01-05,Lamp,Home & Garden,2,58.01,116.02,Germany
INV-19722,CUST-2866,2023-01-05,Biography,Books,1,32.98,32.98,Australia
INV-10050,CUST-3735,2023-01-05,Travel Guide,Books,2,38.14,76.28,Netherlands
INV-16063,CUST-1769,2023-01-05,Phone Case,Electronics,2,121.19,242.38,Germany
INV-19167,CUST-1005,2023-01-05,Textbook,Books,5,23.28,116.4,Italy
INV-10047,CUST-2877,2023-01-05,Picture Frame,Home & Garden,3,32.13,96.39,United Kingdom
INV-15042,CUST-2018,2023-01-05,Travel Guide,Books,2,25.42,50.84,Canada
INV-14771,CUST-1794,2023-01-05,Self-Help Book,Books,2,28.59,57.18,United States
INV-13128,CUST-4623,2023-01-05,Jeans,Clothing,3,61.91,185.73,Germany
INV-17180,CUST-2724,2023-01-05,Plant Pot,Home & Garden,2,54.82,109.64,Netherlands
INV-19469,CUST-1341,2023-01-05,Water Bottle,Sports,4,167.81,671.24,Sweden
INV-11603,CUST-2961,2023-01-05,Keyboard,Electronics,2,34.26,68.52,United States
INV-11658,CUST-1633,2023-01-05,Phone Case,Electronics,2,121.73,243.46,Netherlands
INV-10756,CUST-3870,2023-01-05,Sweater,Clothing,1,61.24,61.24,Netherlands
INV-10585,CUST-1916,2023-01-05,Webcam,Electronics,2,138.05,276.1,Sweden
INV-19889,CUST-2381,2023-01-05,Jacket,Clothing,1,73.51,73.51,Netherlands
INV-10625,CUST-2744,2023-01-05,Picture Frame,Home & Garden,1,61.7,61.7,United States
INV-15671,CUST-2113,2023-01-05,Hat,Clothing,3,108.2,324.6,Germany
INV-19570,CUST-2725,2023-01-05,Phone Case,Electronics,2,100.93,201.86,Netherlands
INV-15254,CUST-2508,2023-01-05,USB Cable,Electronics,1,114.61,114.61,Canada
INV-19820,CUST-1695,2023-01-05,Dumbbell Set,Sports,1,106.05,106.05,Italy
INV-11803,CUST-1648,2023-01-05,Plant Pot,Home & Garden,2,42.75,85.5,Canada
INV-17172,CUST-1888,2023-01-05,Tennis Racket,Sports,5,160.44,802.2,Italy
INV-15174,CUST-4594,2023-01-05,Hat,Clothing,4,47.5,190.0,Netherlands
INV-13449,CUST-4635,2023-01-06,Yoga Mat,Sports,4,65.89,263.56,Sweden
INV-17101,CUST-4893,2023-01-06,Sweater,Clothing,1,78.62,78.62,France
INV-13269,CUST-1175,2023-01-06,Water Bottle,Sports,1,173.94,173.94,France
INV-14740,CUST-1801,2023-01-06,Jacket,Clothing,1,36.9,36.9,Spain
INV-19910,CUST-1815,2023-01-06,Lamp,Home & Garden,1,17.54,17.54,United Kingdom
INV-16690,CUST-4781,2023-01-06,Textbook,Books,2,16.04,32.08,United Kingdom
INV-10990,CUST-3755,2023-01-06,Cushion,Home & Garden,1,58.32,58.32,Netherlands
INV-17017,CUST-3809,2023-01-06,Coffee Mug,Home & Garden,3,79.98,239.94,France
INV-13824,CUST-1120,2023-01-06,Shoes,Clothing,5,28.46,142.3,Spain
INV-14498,CUST-2446,2023-01-06,T-Shirt,Clothing,1,67.88,67.88,Canada
INV-13319,CUST-2761,2023-01-06,Dumbbell Set,Sports,1,17.17,17.17,Germany
INV-17649,CUST-3668,2023-01-06,Headphones,Electronics,4,48.48,193.92,France
INV-14801,CUST-1524,2023-01-06,Headphones,Electronics,3,100.29,300.87,Netherlands
INV-15734,CUST-2696,2023-01-06,Fiction Novel,Books,1,35.59,35.59,Italy
INV-19287,CUST-2709,2023-01-06,Travel Guide,Books,2,39.28,78.56,Sweden
INV-12418,CUST-3858,2023-01-06,Fiction Novel,Books,1,26.88,26.88,Spain
INV-19382,CUST-2961,2023-01-06,Phone Case,Electronics,1,141.01,141.01,Canada
INV-12313,CUST-4009,2023-01-06,Lamp,Home & Garden,3,12.2,36.6,Sweden
INV-15856,CUST-4861,2023-01-06,Jacket,Clothing,3,42.94,128.82,Sweden
INV-15602,CUST-2002,2023-01-06,Running Shoes,Sports,4,16.66,66.64,Netherlands
INV-19238,CUST-2250,2023-01-06,Coffee Mug,Home & Garden,2,45.38,90.76,Spain
INV-12763,CUST-1839,2023-01-06,Fiction Novel,Books,4,28.69,114.76,Italy
INV-13720,CUST-4227,2023-01-06,Coffee Mug,Home & Garden,2,30.12,60.24,Sweden
INV-10917,CUST-3623,2023-01-06,Fiction Novel,Books,2,23.35,46.7,France
INV-14851,CUST-3597,2023-01-06,Biography,Books,4,26.84,107.36,United States
INV-10690,CUST-3267,2023-01-06,Sweater,Clothing,4,87.73,350.92,Australia
INV-10707,CUST-3714,2023-01-06,Travel Guide,Books,1,30.42,30.42,Netherlands
INV-13453,CUST-4149,2023-01-07,Cushion,Home & Garden,3,45.32,135.96,Italy
INV-17135,CUST-2473,2023-01-07,Webcam,Electronics,1,89.64,89.64,Australia
INV-15283,CUST-2414,2023-01-07,T-Shirt,Clothing,3,62.45,187.35,United States
INV-17642,CUST-2396,2023-01-07,Sweater,Clothing,1,82.91,82.91,Canada
INV-18792,CUST-2430,2023-01-07,Travel Guide,Books,4,23.09,92.36,Italy
INV-10766,CUST-2380,2023-01-07,Phone Case,Electronics,1,84.96,84.96,United States
INV-13840,CUST-1212,2023-01-07,Textbook,Books,3,34.75,104.25,United Kingdom
INV-10102,CUST-4479,2023-01-07,Running Shoes,Sports,1,137.38,137.38,Australia
INV-14041,CUST-4884,2023-01-07,Yoga Mat,Sports,1,93.57,93.57,Australia
INV-11757,CUST-3728,2023-01-07,USB Cable,Electronics,3,40.29,120.87,Germany
INV-10517,CUST-1126,2023-01-07,Webcam,Electronics,3,28.76,86.28,United Kingdom
INV-18669,CUST-3922,2023-01-07,Sweater,Clothing,1,22.35,22.35,Spain
INV-17498,CUST-1316,2023-01-07,Phone Case,Electronics,2,78.93,157.86,Spain
INV-17436,CUST-1685,2023-01-07,Biography,Books,1,14.49,14.49,Spain
INV-18420,CUST-3740,2023-01-07,Keyboard,Electronics,1,46.74,46.74,Italy
INV-15022,CUST-1894,2023-01-07,Textbook,Books,1,18.66,18.66,Italy
INV-16334,CUST-2977,2023-01-07,Fiction Novel,Books,2,14.64,29.28,Germany
INV-15036,CUST-1859,2023-01-07,Jacket,Clothing,1,107.71,107.71,United States
INV-19675,CUST-3493,2023-01-07,Cookbook,Books,1,26.17,26.17,Canada
INV-10985,CUST-1591,2023-01-07,Self-Help Book,Books,2,20.51,41.02,Spain
INV-16377,CUST-1167,2023-01-07,Picture Frame,Home & Garden,1,18.55,18.55,Italy
INV-12333,CUST-4048,2023-01-07,Fiction Novel,Books,3,36.96,110.88,Italy
INV-10481,CUST-1739,2023-01-07,USB Cable,Electronics,2,82.44,164.88,Netherlands
INV-10828,CUST-4810,2023-01-07,Dumbbell Set,Sports,1,24.08,24.08,United Kingdom
INV-11858,CUST-1254,2023-01-07,Cushion,Home & Garden,2,27.54,55.08,Sweden
INV-18947,CUST-2735,2023-01-07,Sweater,Clothing,2,54.06,108.12,Spain
INV-11454,CUST-1478,2023-01-07,Sweater,Clothing,2,44.74,89.48,Germany
INV-17873,CUST-1011,2023-01-08,Cookbook,Books,2,19.0,38.0,France
INV-13730,CUST-2172,2023-01-08,Hat,Clothing,4,72.57,290.28,United States
INV-16099,CUST-1178,2023-01-08,Jeans,Clothing,1,74.04,74.04,United States
INV-17455,CUST-4006,2023-01-08,Plant Pot,Home & Garden,1,11.06,11.06,France
INV-16775,CUST-2950,2023-01-08,Tennis Racket,Sports,1,189.87,189.87,Italy
INV-17370,CUST-2253,2023-01-08,Webcam,Electronics,2,34.67,69.34,Spain
INV-15352,CUST-1773,2023-01-08,Water Bottle,Sports,3,195.39,586.17,United States
INV-18287,CUST-2819,2023-01-08,Running Shoes,Sports,1,142.7,142.7,Canada
INV-14501,CUST-1192,2023-01-08,Jeans,Clothing,1,93.35,93.35,Canada
INV-17948,CUST-1485,2023-01-08,Water Bottle,Sports,2,91.42,182.84,Sweden
INV-17167,CUST-2549,2023-01-08,Webcam,Electronics,2,88.5,177.0,United States
INV-16458,CUST-2887,2023-01-08,Shoes,Clothing,1,77.22,77.22,Canada
INV-14075,CUST-1995,2023-01-08,Self-Help Book,Books,1,31.39,31.39,United Kingdom
INV-17107,CUST-4521,2023-01-08,Cookbook,Books,1,12.43,12.43,United Kingdom
INV-14198,CUST-1332,2023-01-08,Webcam,Electronics,1,38.51,38.51,Spain
INV-18590,CUST-1072,2023-01-08,Phone Case,Electronics,1,93.06,93.06,France
INV-17778,CUST-2294,2023-01-08,Plant Pot,Home & Garden,1,13.19,13.19,France
INV-16943,CUST-1657,2023-01-08,Webcam,Electronics,3,130.6,391.8,United States
INV-12152,CUST-1714,2023-01-08,Travel Guide,Books,1,38.9,38.9,United Kingdom
INV-11672,CUST-1308,2023-01-08,Water Bottle,Sports,5,74.89,374.45,Australia
INV-13052,CUST-1619,2023-01-08,Tennis Racket,Sports,3,118.43,355.29,Spain
INV-18977,CUST-1219,2023-01-08,T-Shirt,Clothing,1,108.35,108.35,Australia
INV-12256,CUST-1185,2023-01-08,Phone Case,Electronics,1,42.49,42.49,Sweden
INV-12928,CUST-1274,2023-01-08,Tennis Racket,Sports,5,183.71,918.55,Italy
INV-19938,CUST-4745,2023-01-08,Football,Sports,5,76.83,384.15,Italy
INV-13485,CUST-4397,2023-01-08,Jeans,Clothing,3,60.47,181.41,Italy
INV-12993,CUST-1443,2023-01-08,Football,Sports,1,86.83,86.83,Netherlands
INV-10188,CUST-2467,2023-01-08,Plant Pot,Home & Garden,3,17.69,53.07,Germany
INV-18398,CUST-2466,2023-01-09,Candle,Home & Garden,1,52.03,52.03,United Kingdom
INV-17389,CUST-2263,2023-01-09,USB Cable,Electronics,2,24.74,49.48,Italy
INV-15960,CUST-2434,2023-01-09,Shoes,Clothing,2,57.78,115.56,United Kingdom
INV-14141,CUST-1277,2023-01-09,Jeans,Clothing,1,98.27,98.27,Canada
INV-16441,CUST-4489,2023-01-09,Jacket,Clothing,1,40.93,40.93,France
INV-11977,CUST-2362,2023-01-09,Dumbbell Set,Sports,1,196.93,196.93,Sweden
INV-10380,CUST-2068,2023-01-09,Fiction Novel,Books,1,32.5,32.5,Germany
INV-16391,CUST-2326,2023-01-09,Coffee Mug,Home & Garden,3,72.6,217.8,Canada
INV-12144,CUST-4896,2023-01-09,Phone Case,Electronics,1,101.88,101.88,Italy
INV-10261,CUST-2462,2023-01-09,Fiction Novel,Books,5,35.43,177.15,Canada
INV-18904,CUST-3234,2023-01-09,Keyboard,Electronics,1,79.24,79.24,United Kingdom
INV-18428,CUST-1030,2023-01-09,Hat,Clothing,5,107.04,535.2,Sweden
INV-10465,CUST-1508,2023-01-09,Cushion,Home & Garden,1,63.36,63.36,Italy
INV-12122,CUST-2158,2023-01-09,Headphones,Electronics,5,23.14,115.7,Australia
INV-16357,CUST-4182,2023-01-09,Shoes,Clothing,1,73.61,73.61,Australia
INV-13297,CUST-1372,2023-01-09,Dumbbell Set,Sports,4,99.81,399.24,Sweden
INV-14321,CUST-1654,2023-01-09,Textbook,Books,1,11.99,11.99,Spain
INV-19797,CUST-3670,2023-01-09,Wireless Mouse,Electronics,1,85.88,85.88,Italy
INV-18088,CUST-4539,2023-01-09,Football,Sports,3,193.75,581.25,Netherlands
INV-11316,CUST-4743,2023-01-09,Candle,Home & Garden,4,24.74,98.96,Australia
INV-12888,CUST-4179,2023-01-09,Dumbbell Set,Sports,2,38.72,77.44,Italy
INV-15786,CUST-2637,2023-01-09,Fiction Novel,Books,2,42.26,84.52,Australia
INV-10397,CUST-2969,2023-01-09,Lamp,Home & Garden,1,49.45,49.45,Australia
INV-11103,CUST-2964,2023-01-09,Webcam,Electronics,1,77.17,77.17,Germany
INV-13891,CUST-3583,2023-01-09,Candle,Home & Garden,1,25.76,25.76,Netherlands
INV-15402,CUST-3712,2023-01-09,Cookbook,Books,1,11.25,11.25,United Kingdom
INV-17976,CUST-1053,2023-01-09,Football,Sports,1,55.3,55.3,Sweden
INV-16757,CUST-2624,2023-01-09,Headphones,Electronics,1,17.87,17.87,United Kingdom
INV-15445,CUST-3008,2023-01-09,Shoes,Clothing,4,110.72,442.88,Australia
INV-12885,CUST-4440,2023-01-09,Plant Pot,Home & Garden,1,20.51,20.51,Germany
INV-10388,CUST-2084,2023-01-09,Fiction Novel,Books,2,10.26,20.52,United States
INV-19213,CUST-1020,2023-01-09,Keyboard,Electronics,2,37.39,74.78,United States
INV-17826,CUST-1017,2023-01-09,Fiction Novel,Books,5,48.45,242.25,Sweden
INV-12786,CUST-4903,2023-01-09,Jacket,Clothing,2,82.34,164.68,Netherlands
INV-10110,CUST-1381,2023-01-09,Hat,Clothing,2,67.61,135.22,Italy
INV-13764,CUST-4158,2023-01-09,Travel Guide,Books,3,35.69,107.07,Sweden
INV-14358,CUST-1505,2023-01-10,Hat,Clothing,1,21.67,21.67,France
INV-19065,CUST-1428,2023-01-10,Wireless Mouse,Electronics,1,125.99,125.99,Italy
INV-13062,CUST-4842,2023-01-10,Sweater,Clothing,1,69.69,69.69,Sweden
INV-15318,CUST-1985,2023-01-10,Wireless Mouse,Electronics,3,40.51,121.53,Canada
INV-19258,CUST-4245,2023-01-10,Yoga Mat,Sports,2,107.86,215.72,United States
INV-17962,CUST-3042,2023-01-10,Coffee Mug,Home & Garden,1,72.06,72.06,Sweden
INV-15064,CUST-3902,2023-01-10,Jacket,Clothing,3,118.94,356.82,France
INV-19220,CUST-2816,2023-01-10,Fiction Novel,Books,2,11.69,23.38,United States
INV-10703,CUST-2739,2023-01-10,Cushion,Home & Garden,1,72.04,72.04,United Kingdom
INV-19129,CUST-1791,2023-01-10,Self-Help Book,Books,2,41.1,82.2,United Kingdom
INV-17614,CUST-2533,2023-01-10,Lamp,Home & Garden,3,16.17,48.51,Australia
INV-10318,CUST-2806,2023-01-10,T-Shirt,Clothing,2,77.26,154.52,France
INV-17411,CUST-2438,2023-01-10,Jeans,Clothing,2,80.5,161.0,Netherlands
INV-17414,CUST-1461,2023-01-10,Hat,Clothing,1,32.13,32.13,United States
INV-10869,CUST-2420,2023-01-10,Dumbbell Set,Sports,1,76.71,76.71,Germany
INV-17352,CUST-3144,2023-01-10,Lamp,Home & Garden,2,76.62,153.24,Spain
INV-16331,CUST-1446,2023-01-10,USB Cable,Electronics,1,130.44,130.44,France
INV-10822,CUST-3538,2023-01-10,Fiction Novel,Books,2,41.04,82.08,Germany
INV-18411,CUST-1044,2023-01-10,Headphones,Electronics,1,102.08,102.08,United Kingdom
INV-10611,CUST-1935,2023-01-10,Jeans,Clothing,4,114.81,459.24,Spain
INV-11001,CUST-4672,2023-01-10,Wireless Mouse,Electronics,2,24.51,49.02,Italy
INV-16772,CUST-1559,2023-01-10,Keyboard,Electronics,2,63.19,126.38,Netherlands
INV-16833,CUST-1798,2023-01-10,Fiction Novel,Books,3,46.94,140.82,Sweden
INV-13396,CUST-3677,2023-01-10,Picture Frame,Home & Garden,1,41.42,41.42,Italy
INV-16850,CUST-1236,2023-01-10,Keyboard,Electronics,2,105.9,211.8,Canada
INV-13661,CUST-2887,2023-01-10,Travel Guide,Books,1,11.01,11.01,Italy
INV-13586,CUST-1711,2023-01-10,Travel Guide,Books,1,10.93,10.93,Canada
INV-11923,CUST-4892,2023-01-11,Headphones,Electronics,1,97.45,97.45,Netherlands
INV-18524,CUST-2796,2023-01-11,Jacket,Clothing,1,53.62,53.62,United Kingdom
INV-14878,CUST-2430,2023-01-11,Yoga Mat,Sports,3,123.48,370.44,Australia
INV-12283,CUST-2768,2023-01-11,Jacket,Clothing,3,119.91,359.73,Australia
INV-10029,CUST-3409,2023-01-11,Running Shoes,Sports,1,37.39,37.39,Australia
INV-17421,CUST-2149,2023-01-11,Jacket,Clothing,1,101.48,101.48,Australia
INV-14957,CUST-1125,2023-01-11,Plant Pot,Home & Garden,1,37.73,37.73,Canada
INV-17600,CUST-1191,2023-01-11,Picture Frame,Home & Garden,2,75.71,151.42,Germany
INV-19930,CUST-2234,2023-01-11,Textbook,Books,4,17.48,69.92,Germany
INV-14320,CUST-3236,2023-01-11,Sweater,Clothing,3,20.26,60.78,Germany
INV-10573,CUST-2383,2023-01-11,T-Shirt,Clothing,4,94.57,378.28,Australia
INV-12645,CUST-3733,2023-01-11,T-Shirt,Clothing,5,93.89,469.45,Sweden
INV-15875,CUST-1602,2023-01-11,T-Shirt,Clothing,1,24.34,24.34,United States
INV-15459,CUST-4610,2023-01-11,Football,Sports,2,142.19,284.38,United Kingdom
INV-17937,CUST-4172,2023-01-11,Self-Help Book,Books,1,45.93,45.93,Spain
INV-10776,CUST-2686,2023-01-11,Lamp,Home & Garden,3,49.02,147.06,Australia
INV-13864,CUST-3060,2023-01-11,USB Cable,Electronics,1,96.66,96.66,Canada
INV-18767,CUST-1819,2023-01-11,Self-Help Book,Books,1,13.24,13.24,Canada
INV-11430,CUST-3524,2023-01-11,Shoes,Clothing,5,78.75,393.75,France
INV-16791,CUST-3469,2023-01-11,Lamp,Home & Garden,3,45.42,136.26,Germany
INV-12733,CUST-4163,2023-01-11,Water Bottle,Sports,2,42.18,84.36,Canada
INV-16723,CUST-3336,2023-01-11,Biography,Books,3,47.31,141.93,Netherlands
INV-11931,CUST-1060,2023-01-11,Headphones,Electronics,3,112.49,337.47,Spain
INV-16476,CUST-2362,2023-01-11,Jeans,Clothing,1,79.08,79.08,Australia
INV-17321,CUST-2277,2023-01-11,Jacket,Clothing,2,98.96,197.92,United States
